Card Name,Fair Value,Trend,Top 3 Prices,Median (All),Min,Max,Num Sales
2024-25 O-Pee-Chee Platinum - [Base] - Violet Pixels #300 - Marquee Rookies - Sebastian Cossa #48/299,$47.98,no data,$47.98,$47.98,$47.98,$47.98,1
2024-25 O-Pee-Chee Platinum - [Base] - Rainbow #278 - Marquee Rookies - Will Smith,$14.74,stable,$14.68 | $23.37 | $14.74,$14.74,$14.68,$23.37,3
"2024-25 SPx - Excellence Redefined - Red #EX-9 - Connor Bedard, Nathan MacKinnon #9/10",$9.54,down,$12.15 | $14.02 | $9.54,$13.67,$7.52,$25.88,17
2024-25 Upper Deck Extended Series - [Base] #701 - Young Guns - Will Smith,$59.99,stable,$43.0 | $69.78 | $59.99,$54.05,$42.61,$91.84,11
2025 Upper Deck Team Canada Juniors - License to Ice #LI-23 - Chloe Primerano,$5.00,no data,,$5.00,$5.00,$5.00,0
"2025 Upper Deck GR8 Moments - [Base] - Blue #GR-7 - (Dec. 13, 2022) - Alex Ovechkin Scores 800th Goal",$12.60,no data,$12.6,$12.60,$12.60,$12.60,1
2024-25 Upper Deck Series 2 - Day with the Cup #DC10 - Anton Lundell,$57.94,up,$57.94 | $34.84,$46.39,$34.84,$57.94,2
2024-25 O-Pee-Chee Platinum - [Base] - Red Prism #263 - Marquee Rookies - Macklin Celebrini #2/199,$317.45,no data,$317.45,$317.45,$317.45,$317.45,1
"2025 Upper Deck GR8 Moments - [Base] - Red #GR-8 - (Apr. 6, 2025) - Alex Ovechkin Breaks NHL Goals Record",$12.61,stable,$12.61 | $12.66 | $12.14,$12.61,$12.14,$12.66,5
2024-25 O-Pee-Chee Platinum - [Base] - Seismic Gold #46 - Lucas Raymond #20/50,$20.63,stable,$20.63 | $17.8 | $20.67,$15.53,$6.61,$35.87,21
2024-25 O-Pee-Chee Platinum - Retro - Blue Luster #R82 - Rookies - Shakir Mukhamadullin #92/100,$23.98,up,$10.62 | $23.98 | $14.6,$12.60,$4.04,$23.98,9
2025 Upper Deck Team Canada Juniors - [Base] - Auto Patch #12 - Keaton Verhoeff #128/150,$2.13,down,$7.24 | $2.13 | $3.3,$4.21,$1.83,$15.05,36
2024-25 O-Pee-Chee Platinum - [Base] - Rainbow #300 - Marquee Rookies - Sebastian Cossa,$10.96,stable,$10.95 | $13.62 | $10.96,$14.30,$4.77,$29.69,32
2024 Upper Deck PWHL 1st Edition - [Base] - Deluxe #59 - Young Guns - Emma Maltais [PSA 9 MINT] #48/250,$35.27,up,$35.27 | $24.94,$30.11,$24.94,$35.27,2
2024 Upper Deck PWHL 1st Edition - UD Portraits - Gold #P-2 - Marie-Philip Poulin [PSA 10 GEM MT] #82/299,$106.53,no data,$106.53,$106.53,$106.53,$106.53,1
