Card Name,Fair Value,Confidence,Num Sales,Top 3 Prices,Min,Max,Median
2023-24 Upper Deck Allure - [Base] - Blue Line Auto Jersey #114 - Rookies - Leo Carlsson #28/35,$99.59,low,1,$99.59,$99.59,$99.59,
2024-25 Upper Deck Credentials - Acetate Debut Ticket Access #DTAA-RM - Rutger McGroarty #128/199,$18.52,low,1,$18.52,$18.52,$18.52,
"2025 Upper Deck GR8 Moments - [Base] #GR-1 - (Oct. 5, 2005) - Alex Ovechkin Scores Twice in Debut",$14.6,low,6,$16.75 | $11.67 | $14.6,$11.67,$16.75,
2024-25 Upper Deck Fleer Ultra - Ultra Team #UT 15 OF 40 - Matvei Michkov,$16.75,high,5,$16.51 | $16.75 | $17.79,$16.51,$18.31,
2024-25 Upper Deck Fleer Ultra - [Base] - Silver Foil #204 - Rookies - Lane Hutson,$22.41,high,3,$19.47 | $22.41 | $16.29,$16.29,$22.41,
2025 Upper Deck DC x NHL Crossover - [Base] #1 - Wayne Gretzky,$12.8,high,33,$12.8 | $16.24 | $10.24,$6.95,$37.03,
2025 Upper Deck DC x NHL Crossover - [Base] - Gold #4 - Superman™ & Krypto™,$3.99,high,2,$3.99 | $15.32,$3.99,$15.32,
2025 Upper Deck DC x NHL Crossover - [Base] - Silver #4 - Superman™ & Krypto™,$18.21,high,3,$18.21 | $12.6 | $12.6,$12.6,$18.21,
2025 Upper Deck DC x NHL Crossover - [Base] - Canvas Achievement #3 - Superman™,$17.08,high,18,$16.75 | $12.5 | $17.08,$6.99,$17.08,
2024-25 Upper Deck Credentials - Retro Ticket Access Auto Rookies #RTAR-CG - SP - Cutter Gauthier,$82.4,low,1,$82.4,$82.4,$82.4,
2024-25 Upper Deck Credentials - [Base] - Autographs #145 - Debut Ticket Access - Collin Graf #163/199,$24.21,low,10,$17.7 | $24.21 | $28.33,$10.97,$30.27,
2024-25 Upper Deck Fleer Ultra - [Base] - Blue Foil #64 - Leo Carlsson #65/399,$4.86,low,2,$4.86 | $27.3,$4.86,$27.3,
2024-25 Upper Deck Series 2 - [Base] - Outburst #461 - Young Guns - Oliver Kapanen,$46.01,high,6,$92.4 | $46.01 | $65.27,$46.01,$138.93,
2024 Fleer Scooby Doo - S-S-Scared S-S-Sketches #SKT - Ryan Finley,$71.35,low,1,$71.35,$71.35,$71.35,
2023-24 O-Pee-Chee Platinum - [Base] - Red Prism #293 - Marquee Rookies - Leo Carlsson [PSA 10 GEM MT] #53/199,$162.96,low,5,$172.99 | $162.96 | $160.13,$160.13,$198.21,
2023-24 O-Pee-Chee Platinum - [Base] - Violet Pixels #201 - Marquee Rookies - Connor Bedard [PSA 10 GEM MT] #260/299,$479.4,low,3,$479.4 | $358.66 | $488.23,$358.66,$488.23,
2023-24 O-Pee-Chee Platinum - [Base] - Pond Hockey Variants #202 - Marquee Rookies - Logan Cooley [PSA 10 GEM MT],$209.96,low,8,$50.09 | $169.38 | $209.96,$50.09,$209.96,
2023-24 O-Pee-Chee Platinum - [Base] - Emerald Surge #14 - Jake Sanderson #1/10,$136.86,low,11,$75.71 | $136.86 | $87.77,$25.89,$182.65,
2023-24 O-Pee-Chee Platinum - [Base] - Emerald Surge #53 - Nick Suzuki [PSA 10 GEM MT] #10/10,$200.00,manual,0,,$5.0,$5.0,
2023-24 Upper Deck Series 1 - [Base] #248 - Young Guns - Luke Hughes [PSA 9 MINT],$35.3,high,14,$63.31 | $35.3 | $24.85,$22.0,$63.31,
1998-99 In the Game Be A Player - [Base] - Gold 20th National Atlanta #284 - Curtis Joseph #8/10,$30.00,manual,,,,,
2020-21 Upper Deck - [Base] - Photo Variation #419 - Auston Matthews [Poor to Fair],$15.06,high,3,$14.61 | $15.06 | $15.38,$14.61,$15.38,
2024-25 Upper Deck PWHL - [Base] - Outburst #52 - Young Guns - Noora Tulus,$20.2,high,9,$17.92 | $12.06 | $20.2,$3.25,$20.2,
"2024-25 SPx - Excellence Redefined - Red #EX-9 - Connor Bedard, Nathan MacKinnon #9/10",$313.3,estimated,2,$313.3 | $554.6,$313.3,$554.6,
2024-25 Upper Deck Extended Series - [Base] #701 - Young Guns - Will Smith,$59.99,high,9,$43.0 | $62.86 | $59.99,$40.36,$62.86,
2025 Upper Deck Team Canada Juniors - [Base] - Outburst #42 - Alex Huang,$2.91,low,6,$3.64 | $3.5 | $2.91,$2.59,$8.04,
2025 Upper Deck Team Canada Juniors - [Base] - Red Foil #12 - Keaton Verhoeff,$7.49,high,31,$5.93 | $12.16 | $7.49,$2.56,$19.42,
2025 Upper Deck Team Canada Juniors - [Base] - Jersey #85 - Pride of the Program - Gavin McKenna,$6.11,low,38,$2.91 | $4.38 | $6.11,$2.59,$15.33,
2025 Upper Deck Team Canada Juniors - Team Canada FX #FX-24 - Chloe Primerano,$20.79,high,1,$20.79,$20.79,$20.79,
2025 Upper Deck Team Canada Juniors - [Base] - Auto Patch #12 - Keaton Verhoeff #128/150,$13.19,estimated,2,$13.19 | $10.79,$10.79,$13.19,
2025 Upper Deck Team Canada Juniors - License to Ice #LI-23 - Chloe Primerano,$30.00,manual,0,,$5.0,$5.0,
2024-25 O-Pee-Chee Platinum - [Base] - Rainbow #206 - Marquee Rookies - Frank Nazar,$11.46,high,1,$11.46,$11.46,$11.46,
2024-25 O-Pee-Chee Platinum - [Base] - Rainbow #300 - Marquee Rookies - Sebastian Cossa,$14.71,low,21,$6.57 | $18.05 | $14.71,$6.57,$24.45,
2024-25 O-Pee-Chee Platinum - [Base] - Rainbow #278 - Marquee Rookies - Will Smith,$14.61,high,2,$14.61 | $23.37,$14.61,$23.37,
2024-25 O-Pee-Chee Platinum - O-Pee-Chee Premier #OP8 - Connor Bedard,$21.74,low,14,$18.03 | $22.6 | $21.74,$14.18,$23.42,
2023-24 SPx - Finite Rookies - Silver Spectrum #F-3 - Matthew Knies #24/49,$147.96,low,3,$147.96 | $110.25 | $95.97,$95.97,$147.96,
2024-25 O-Pee-Chee Platinum - [Base] - Violet Pixels #300 - Marquee Rookies - Sebastian Cossa #48/299,$7.3,low,1,$7.3,$7.3,$7.3,
2024-25 O-Pee-Chee Platinum - [Base] - Seismic Gold #46 - Lucas Raymond #20/50,$39.03,low,2,$39.03 | $34.97,$34.97,$39.03,
2024-25 O-Pee-Chee Platinum - Retro - Blue Luster #R82 - Rookies - Shakir Mukhamadullin #92/100,$6.42,low,1,$6.42,$6.42,$6.42,
2024-25 O-Pee-Chee Platinum - [Base] - Violet Pixels #273 - Marquee Rookies - Ivan Ivan #292/299,$2.11,high,1,$2.11,$2.11,$2.11,
"2025 Upper Deck GR8 Moments - [Base] - Red #GR-8 - (Apr. 6, 2025) - Alex Ovechkin Breaks NHL Goals Record",$19.73,high,41,$16.75 | $19.73 | $49.72,$6.99,$49.72,
"2025 Upper Deck GR8 Moments - [Base] - Blue #GR-7 - (Dec. 13, 2022) - Alex Ovechkin Scores 800th Goal",$15.98,high,1,$15.98,$15.98,$15.98,
2024-25 O-Pee-Chee Platinum - [Base] - Arctic Freeze #263 - Marquee Rookies - Macklin Celebrini #1/99,$605.0,low,2,$605.0 | $824.61,$605.0,$824.61,
2024-25 O-Pee-Chee Platinum - [Base] - Violet Pixels #281 - Marquee Rookies - Jonathan Lekkerimaki #2/299,$10.6,low,2,$10.6 | $12.14,$10.6,$12.14,
2024-25 O-Pee-Chee Platinum - [Base] - Red Prism #263 - Marquee Rookies - Macklin Celebrini #2/199,$317.45,high,1,$317.45,$317.45,$317.45,
2024-25 Upper Deck Series 2 - Day with the Cup #DC10 - Anton Lundell,$57.0,high,2,$57.0 | $33.95,$33.95,$57.0,
2025-26 Upper Deck Series 1 - Dazzlers - Blue #DZ-39 - Lane Hutson,$17.44,high,68,$13.26 | $16.18 | $17.44,$5.11,$37.58,
2025-26 Upper Deck Series 1 - Encore #E-36 - Ivan Demidov,$19.47,high,119,$19.85 | $18.28 | $19.47,$6.0,$42.39,
2025-26 Upper Deck Series 1 - [Base] #201 - Young Guns - Artyom Levshunov,$20.15,high,187,$20.15 | $12.05 | $24.89,$6.39,$52.02,
2025-26 Upper Deck Series 1 - [Base] #202 - Young Guns - Gabe Perreault,$16.04,high,195,$20.21 | $10.0 | $16.04,$3.13,$26.0,
2025-26 Upper Deck Series 1 - [Base] #207 - Young Guns - Jimmy Snuggerud,$28.98,high,204,$22.66 | $22.72 | $28.98,$5.47,$40.0,
2025-26 Upper Deck Series 1 - [Base] #226 - Young Guns - Dalibor Dvorsky,$22.26,high,198,$22.26 | $17.12 | $6.5,$3.65,$25.67,
